ID,NAME,LATITUDE,LONGITUDE
61,COL.LEGI EL VEDAT,39.42313384880134,-0.4606527685775368
62,BENIMACLET,39.48581539800381,-0.3616509097550896
63,LA CANYADA,39.52680587694177,-0.48712220767554665
64,LA COVA,39.498889921850775,-0.48444443884154675
65,FOIOS,39.5372238152284,-0.353869438543834
66,RAFELBUNYOL,39.588523863986794,-0.33105832383704287
67,Á. GIMERÁ,39.46959137449779,-0.38410946248914607
68,ARAGÓN,39.47269126027633,-0.3577954459515307
69,AMISTAT,39.47074908629906,-0.3518176379178333
70,AV. DEL CID,39.4686460557692,-0.4001147916717975
71,AV. DEL CID,39.469063893575075,-0.40003437911579415
72,AYORA,39.46812532076173,-0.3433854686585752
73,BENIFERRI,39.49099128187269,-0.39930619195259487
74,BENIFERRI,39.49056320323133,-0.40024648892605286
75,CAMPANAR - LA FE,39.482984605471806,-0.39455036642331126
76,CAMPANAR - LA FE,39.48294402140486,-0.3936281272626264
77,EMPALME,39.49940460798291,-0.40200290570851543
78,HOSPITAL,39.45395177721097,-0.3992702804664267
79,MACHADO,39.491628183068336,-0.3588057048466676
80,MACHADO,39.492744945571346,-0.3580376602575547
81,MACHADO,39.491608501493126,-0.359356718154416
82,MISLATA - ALMASSIL,39.47523066181545,-0.4219307021152693
83,NOU D'OCTUBRE,39.470408105297736,-0.40612707861460623
84,PATRAIX,39.45670893544153,-0.39043208680578856
85,EMPALME,39.500591229889515,-0.4035140642371054
86,TVV,39.51223269375866,-0.42434613877023275
87,TARONGERS,39.47813796876678,-0.33962222880790927
88,COLÓN,39.46959132384859,-0.37155547149255014
89,JOAQUÍN SOROLLA,39.45953575711037,-0.38492206555335057
90,XÀTIVA,39.467335133630534,-0.3767647684800705
91,XÀTIVA,39.4672294497781,-0.37632536078820306
92,SERRERÍA,39.47659301690454,-0.33420276658337256
93,UNIVERSITAT POLITÈCNICA,39.48131561164537,-0.3504999879959418
94,TOMÁS Y VALIENTE,39.5197715747543,-0.42563611268727614
95,SANT RAMÓN,39.38486480661413,-0.46726110567878326
96,SANTA GEMMA - PARC CIENTÍFIC UV,39.51514053254142,-0.4226219947527445
97,REALÓN,39.40801238873747,-0.4609111245112085
98,L'ALCÚDIA,39.193813323008925,-0.5102638598118828
99,GARBÍ,39.49229049580702,-0.3945111036579247
100,BENIMACLET,39.484861047668716,-0.3626694312758777
101,BENIMACLET,39.48464913237408,-0.36206017157588705
102,BENIMACLET,39.484797530239526,-0.36198621157011157
103,FACULTATS,39.477691258111506,-0.3617624121644182
104,LA COMA,39.52157211171506,-0.4317069946077471
105,ESTADI DEL LLEVANT,39.4949188224609,-0.3655419941158281
106,SANT MIQUEL DELS REIS,39.497219084567476,-0.3684949880476175
107,LES ARENES,39.4689292895511,-0.3257277902288988
108,BURJASSOT - GODELLA,39.5135307306062,-0.41199722851058995
109,GODELLA,39.519504546429715,-0.414455563299386
110,MASSARROJOS,39.53660964839821,-0.40287777731409946
111,ALBERIC,39.1167755114763,-0.5213361380670918
112,MONTORTAL,39.17379760654764,-0.5158861284066704
113,LES CAROLINES/FIRA,39.49873733455265,-0.42541945005742393
114,MONTESOL,39.55557250877451,-0.5316972131179115
115,MASIA DE TRAVER,39.53805541939142,-0.5466666815805376
116,PATRAIX,39.45604416765922,-0.39050544918856134
117,MARITIM - SERRERIA,39.46461344177567,-0.33772838029594265
118,LA CADENA,39.47520446718421,-0.32937499853480573
119,FRANCISCO CUBELLS,39.463245390702866,-0.33397299106717426
120,TORRE DEL VIRREY,39.56866455016901,-0.5419166679787194
121,QUART DE POBLET,39.48108673046481,-0.4418805544578805
122,FAITANAR,39.47761917024598,-0.4331833421365398
123,MELIANA,39.528030394143414,-0.3518194555474534
124,ALBALAT DELS SORELLS,39.545265196813375,-0.3482888933598654
125,MASSAMAGRELL,39.57056045438263,-0.33303332272760633
126,Á. GIMERÁ,39.470091380217056,-0.3871584560182915
127,ARAGÓN,39.47239125504425,-0.3579814499039173
128,SANT ISIDRE,39.45107503760934,-0.4025378538438522
129,AV. DEL CID,39.46854538397739,-0.3976238565328081
130,HOSPITAL,39.4538125076565,-0.3991377497348681
131,MARITIM - SERRERIA,39.46446527318907,-0.3377867839231029
132,MISLATA,39.47332109263378,-0.41608268304424756
133,PL. ESPANYA,39.46574865099752,-0.3820898894124665
134,VALENCIA SUD,39.44146888997365,-0.41047879653652686
135,CAMPUS,39.50709023899413,-0.4173298565949203
136,EMPALME,39.50014599546489,-0.40281755282126214
137,LA GRANJA,39.5040398297922,-0.41242457291537643
138,SANT JOAN,39.50537982359686,-0.4164173641879562
139,LA CARRASCA,39.479660033513994,-0.34482499991390064
140,PRIMADO REIG,39.48627090384431,-0.36776387665347965
141,PONT DE FUSTA,39.48178100486025,-0.3731805678039857
142,BENICALAP,39.49002837996894,-0.3909277916776787
143,FLORISTA,39.494434355706126,-0.396816670876175
144,ARAGÓN,39.47268552109829,-0.3573379062748095
145,BAILÓN,39.463990864720834,-0.3793848903835633
146,BAILÓN,39.463098854323114,-0.37934703872072717
